Name,Red (8 bit),Green (8 bit),Blue (8 bit),Absolute color
Absolute zero,0,72,186,Blue
Acid green,176,191,26,Green
Aero,124,185,232,Blue
Aero blue,201,255,229,Blue
African violet,178,132,190,Violet
Air Force blue (RAF),93,138,168,Blue
Air Force blue (USAF),0,48,143,Blue
Air superiority blue,114,160,193,Blue
Alabama crimson,175,0,42,Red
Alabaster,242,240,230,White
Alice blue,240,248,255,Blue
Alien Armpit,132,222,2,Yellow
Alizarin crimson,227,38,54,Pink
Alloy orange,196,98,16,Yellow
Almond,239,222,205,White
Amaranth,229,43,80,Pink
Amaranth deep purple,159,43,104,Violet
Amaranth pink,241,156,187,Pink
Amaranth purple,171,39,79,Violet
Amaranth red,211,33,45,Red
Amazon,59,122,87,Green
Amazonite,0,196,176,Green
Amber,255,191,0,Yellow
Amber (SAE/ECE),255,126,0,Yellow
American rose,255,3,62,Pink
Amethyst,153,102,204,Violet
Android green,164,198,57,Green
Anti-flash white,242,243,244,White
Antique brass,205,149,117,Gray
Antique bronze,102,93,30,Green
Antique fuchsia,145,92,131,Violet
Antique ruby,132,27,45,Red
Antique white,250,235,215,White
Ao (English),0,128,0,Green
Apple green,141,182,0,Green
Apricot,251,206,177,White
Aqua,0,255,255,Blue
Aquamarine,127,255,212,Blue
Arctic lime,208,255,20,Yellow
Army green,75,83,32,Green
Arsenic,59,68,75,Black
Artichoke,143,151,121,Gray
Arylide yellow,233,214,107,Yellow
Ash grey,178,190,181,Gray
Asparagus,135,169,107,Green
Atomic tangerine,255,153,102,Pink
Auburn,165,42,42,Red
Aureolin,253,238,0,Yellow
AuroMetalSaurus,110,127,128,Gray
Avocado,86,130,3,Green
Awesome,255,32,82,Red
Aztec Gold,195,153,83,Yellow
Azure,0,127,255,Blue
Azure (web color),240,255,255,White
Azure mist,240,255,255,White
Azureish white,219,233,244,White
Baby blue,137,207,240,Blue
Baby blue eyes,161,202,241,Blue
Baby pink,244,194,194,Pink
Baby powder,254,254,250,White
Baker-Miller pink,255,145,175,Pink
Ball blue,33,171,205,Blue
Banana Mania,250,231,181,Yellow
Banana yellow,255,225,53,Yellow
Bangladesh green,0,106,78,Green
Barbie pink,224,33,138,Pink
Barn red,124,10,2,Red
Battery Charged Blue,29,172,214,Blue
Battleship grey,132,132,130,Gray
Bazaar,152,119,123,Violet
Beau blue,188,212,230,Blue
