Red (8 bit),Green (8 bit),Blue (8 bit),Absolute color
0,72,186,Blue
176,191,26,Green
124,185,232,Blue
201,255,229,Blue
178,132,190,Violet
93,138,168,Blue
0,48,143,Blue
114,160,193,Blue
175,0,42,Red
242,240,230,White
240,248,255,Blue
132,222,2,Yellow
227,38,54,Pink
196,98,16,Yellow
239,222,205,White
229,43,80,Pink
159,43,104,Violet
241,156,187,Pink
171,39,79,Violet
211,33,45,Red
59,122,87,Green
0,196,176,Green
255,191,0,Yellow
255,126,0,Yellow
255,3,62,Pink
153,102,204,Violet
164,198,57,Green
242,243,244,White
205,149,117,Gray
102,93,30,Green
145,92,131,Violet
132,27,45,Red
250,235,215,White
0,128,0,Green
141,182,0,Green
251,206,177,White
0,255,255,Blue
127,255,212,Blue
208,255,20,Yellow
75,83,32,Green
59,68,75,Black
143,151,121,Gray
233,214,107,Yellow
178,190,181,Gray
135,169,107,Green
255,153,102,Pink
165,42,42,Red
253,238,0,Yellow
110,127,128,Gray
86,130,3,Green
255,32,82,Red
195,153,83,Yellow
0,127,255,Blue
240,255,255,White
240,255,255,White
219,233,244,White
137,207,240,Blue
161,202,241,Blue
244,194,194,Pink
254,254,250,White
255,145,175,Pink
33,171,205,Blue
250,231,181,Yellow
255,225,53,Yellow
0,106,78,Green
224,33,138,Pink
124,10,2,Red
29,172,214,Blue
132,132,130,Gray
152,119,123,Violet
188,212,230,Blue
159,129,112,Gray
250,110,121,Pink
245,245,220,White
46,88,148,Blue
156,37,66,Red
232,142,90,Yellow
255,228,196,White
61,43,31,Black
150,113,23,Yellow
202,224,13,Green
191,255,0,Green
254,111,94,Red
191,79,81,Red
0,0,0,Black
61,12,2,Black
84,98,111,Black
37,53,41,Black
59,60,54,Black
191,175,178,Gray
255,235,205,Pink
165,113,100,Red
49,140,231,Blue
172,229,238,Blue
250,240,190,Yellow
0,0,255,Blue
31,117,254,Blue
0,147,175,Blue
0,135,189,Blue
0,24,168,Blue
51,51,153,Blue
2,71,254,Blue
162,162,208,Gray
0,185,251,Blue
102,153,204,Gray
13,152,186,Blue
93,173,236,Blue
172,229,238,Blue
85,53,146,Violet
18,97,128,Blue
138,43,226,Violet
80,114,167,Blue
79,134,247,Blue
28,28,240,Blue
222,93,131,Pink
121,68,59,Red
0,149,182,Blue
227,218,201,White
221,226,106,Yellow
204,0,0,Red
0,106,78,Green
135,50,96,Violet
0,112,255,Blue
181,166,66,Yellow
203,65,84,Red
29,172,214,Blue
102,255,0,Green
191,148,228,Violet
216,145,239,Violet
195,33,72,Red
25,116,210,Blue
255,0,127,Pink
8,232,222,Blue
209,159,232,Violet
255,170,29,Yellow
51,153,255,Blue
244,187,255,Violet
255,85,163,Pink
251,96,127,Pink
0,66,37,Green
205,127,50,Yellow
115,112,0,Yellow
150,75,0,Yellow
165,42,42,Red
107,68,35,Yellow
175,110,77,Pink
204,153,102,Yellow
27,77,62,Green
255,193,204,Pink
231,254,255,White
123,182,97,Green
240,220,130,Yellow
72,6,7,Red
128,0,32,Red
222,184,135,Yellow
161,122,116,Violet
204,85,0,Red
233,116,81,Yellow
138,51,36,Red
189,51,164,Violet
112,41,99,Violet
83,104,114,Gray
95,158,160,Blue
145,163,176,Grey
0,107,60,Green
237,135,45,Yellow
227,0,34,Red
255,246,0,Yellow
166,123,91,Gray
75,54,33,Black
30,77,43,Green
163,193,173,Blue
193,154,107,Pink
239,187,204,Pink
120,134,107,Green
255,255,153,Yellow
255,239,0,Yellow
255,8,0,Red
228,113,122,Pink
0,191,255,Blue
89,39,32,Red
196,30,58,Pink
0,204,153,Green
150,0,24,Red
215,0,64,Red
235,76,66,Pink
255,0,56,Red
255,166,201,Pink
179,27,27,Red
86,160,211,Blue
237,145,33,Yellow
0,86,63,Green
6,42,120,Blue
112,54,66,Violet
201,90,73,Pink
146,161,207,Gray
172,225,175,Green
0,123,167,Blue
47,132,124,Green
178,255,255,Blue
73,151,208,Blue
222,49,99,Pink
236,59,131,Pink
0,123,167,Blue
42,82,190,Blue
109,155,195,Blue
0,122,165,Blue
224,60,49,Red
160,120,90,Gray
247,231,206,Pink
241,221,207,Pink
54,69,79,Gray
35,43,43,Gray
230,143,172,Pink
223,255,0,Yellow
127,255,0,Green
222,49,99,Pink
255,183,197,Pink
149,69,53,Red
222,111,161,Pink
168,81,110,Pink
170,56,30,Red
133,96,136,Violet
74,255,0,Green
123,63,0,Red
210,105,30,Red
255,167,0,Yellow
152,129,123,Gray
227,66,52,Red
210,105,30,Yellow
205,96,126,Viotet
228,208,10,Yellow
158,169,31,Green
127,23,52,Violet
251,204,231,Pink
0,71,171,Blue
210,105,30,Yellow
150,90,62,Red
111,78,55,Gray
196,216,226,Blue
248,131,121,Pink
0,46,99,Black
140,146,172,Grey
184,115,51,Gray
218,138,103,Pink
173,111,105,Violet
203,109,81,Red
153,102,102,Pink
255,56,0,Red
255,127,80,Pink
248,131,121,Pink
255,64,64,Red
253,124,110,Pink
137,63,69,Violet
251,236,93,Yellow
179,27,27,Red
100,149,237,Blue
255,248,220,White
46,45,136,Blue
255,248,231,White
129,97,60,Gray
255,188,217,Pink
255,253,208,White
220,20,60,Red
190,0,50,Red
153,0,0,Red
245,245,245,White
0,255,255,Blue
78,130,180,Blue
70,130,191,Blue
40,88,156,Blue
24,139,194,Blue
0,183,235,Blue
88,66,124,Violet
255,211,0,Yellow
245,111,161,Pink
255,255,49,Yellow
240,225,48,Yellow
0,0,139,Blue
102,102,153,Blue
101,67,33,Black
136,101,78,Gray
93,57,84,Violet
164,0,0,Red
8,69,126,Blue
152,105,96,Violet
205,91,69,Red
0,139,139,Blue
83,104,120,Blue
184,134,11,Yellow
169,169,169,Gray
1,50,32,Green
0,100,0,Green
31,38,42,Black
0,65,106,Blue
0,20,126,Blue
26,36,33,Green
189,183,107,White
72,60,50,Black
